MSP_italy_layername,emodnet_layername,italian_msp_fieldame,italian_msp_staticvalue,emodnet_ha_fieldname,description,example_values
areas,MSP Spatial Plan,fid,,,,
areas,MSP Spatial Plan,country,,MS,,Italy
areas,MSP Spatial Plan,area,,LocalID,"A local identifier, assigned by the data provider. This is one
of the three fields that composed InspireID","[A,IMC,MO]"
areas,MSP Spatial Plan,name,,,,
areas,MSP Spatial Plan,,0.1,VersionID,,
areas,MSP Spatial Plan,,sid.mit.go,OffSource,,
areas,MSP Spatial Plan,,,OffTitle,,
areas,MSP Spatial Plan,,http://inspire.ec.europa.eu/codelist/LevelOfSpatialPlanValue/national,LevelSpPla,,
areas,MSP Spatial Plan,,Marine spatial planning,PlanTyNam,,
areas,MSP Spatial Plan,,MSPIT,OffDoc,,
subareas,MSP Supplementary Regulation,,,,,
subareas,MSP Supplementary Regulation,subarea,,LocalID,,
subareas,MSP Supplementary Regulation,area,,SPID,,
subareas,MSP Supplementary Regulation,name,,,,
subareas,MSP Supplementary Regulation,,0.1,VersionID,,
subareas,MSP Supplementary Regulation,,,OffSource,,
subareas,MSP Supplementary Regulation,,,MS,,
subareas,MSP Supplementary Regulation,,By Italian regions,RegNature,,
subareas,MSP Supplementary Regulation,,,SupplemReg,,
subareas,MSP Supplementary Regulation,,,SPID,,
planning_units,MSP Zoning Element,'IT’+Code + Type,,LocalID,,
planning_units,MSP Zoning Element,,1,VersionID,,
planning_units,MSP Zoning Element,,https://www.sid.mit.gov.it,OffSource,,
planning_units,MSP Zoning Element,,Italy,MS,,
planning_units,MSP Zoning Element,"[code, hilucs]",,HilucLU,,
planning_units,MSP Zoning Element,"[code, hilucsmsp]",,hilucsMSP,,
planning_units,MSP Zoning Element,"[code, emodnet]",,SeaUseName,,
planning_units,MSP Zoning Element,"[pu_type, function",,SeaUseFct,,
planning_units,MSP Zoning Element,"[code, emo_desc]",,SeaUseDsc,,
planning_units,MSP Zoning Element,"[code, use_ita]",,OriginUN,,
planning_units,MSP Zoning Element,"[code, use_eng]",,OriginUNEn,,
planning_units,MSP Zoning Element,,,RegNature,,
planning_units,MSP Zoning Element,,,VertDistr,,
planning_units,MSP Zoning Element,,,SPID,,
